make,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,fuel_consumption_comb_mpg,co2_emissions
ASTON MARTIN,UDV,4.7,8,AM,Z,17.4,11.3,14.7,19,338
ASTON MARTIN,UDV,4.7,8,M,Z,18.1,12.3,15.5,18,356
ASTON MARTIN,UDV,6.0,12,AM,Z,19.5,12.8,16.5,17,379
ASTON MARTIN,UDV,4.7,8,AM,Z,17.4,11.3,14.7,19,338
ASTON MARTIN,UDV,4.7,8,M,Z,18.1,12.3,15.5,18,356
ASTON MARTIN,UDV,6.0,12,A,Z,17.6,11.4,14.8,19,340
AUDI,UDV,1.8,4,AM,Z,10.0,7.1,8.7,32,200
AUDI,UDV,2.0,4,AM,D,7.6,5.5,6.5,43,177
AUDI,UDV,2.0,4,AM,Z,9.8,7.2,8.6,33,198
AUDI,UDV,2.0,4,AM,Z,10.1,7.5,8.9,32,205
AUDI,UDV,2.0,4,AV,Z,9.9,7.6,8.9,32,205
AUDI,UDV,2.0,4,AS,Z,11.0,7.8,9.6,29,221
AUDI,UDV,2.0,4,M,Z,10.6,7.3,9.1,31,209
AUDI,SV,2.0,4,AS,Z,11.2,8.4,9.9,28,228
AUDI,UDV,2.0,4,AS,Z,11.0,7.8,9.6,29,221
AUDI,UDV,2.0,4,M,Z,10.6,7.3,9.1,31,209
AUDI,UDV,2.0,4,AS,Z,11.3,8.0,9.8,29,225
AUDI,SDV,2.0,4,AS,Z,12.0,8.1,10.3,27,237
AUDI,SDV,3.0,6,AS,Z,12.8,8.6,10.9,26,251
AUDI,SDV,3.0,6,AS,D,9.8,6.2,8.1,35,217
AUDI,SDV,3.0,6,AS,Z,13.1,8.5,11.0,26,253
AUDI,SDV,3.0,6,AS,D,9.8,6.2,8.1,35,217
AUDI,SDV,3.0,6,AS,Z,12.6,8.0,10.5,27,242
AUDI,SDV,4.0,8,AS,Z,12.9,8.0,10.7,26,246
AUDI,SDV,3.0,6,AS,D,9.8,6.5,8.4,34,224
AUDI,SDV,3.0,6,AS,Z,12.6,8.0,10.5,27,242
AUDI,SDV,4.0,8,AS,Z,13.2,8.3,11.0,26,258
AUDI,SDV,6.3,12,AS,Z,17.8,10.8,14.6,19,344
AUDI,SDV,3.0,6,AS,D,9.8,6.5,8.4,34,224
AUDI,UDV,2.0,4,AS,Z,12.0,8.2,10.3,27,237
AUDI,UDV,2.0,4,AS,Z,11.9,8.4,10.3,27,237
AUDI,UDV,2.0,4,AS,Z,12.0,8.5,10.4,27,239
AUDI,UDV,3.0,6,AS,Z,13.2,9.2,11.4,25,262
AUDI,UDV,3.0,6,AS,D,10.2,7.8,9.0,31,244
AUDI,UDV,2.0,4,AS,Z,9.8,7.9,8.9,32,205
AUDI,SDV,3.0,6,AS,Z,15.2,11.0,13.3,21,306
AUDI,SDV,3.0,6,AS,D,12.4,8.7,10.7,26,290
AUDI,UDV,4.2,8,AM,Z,17.3,10.4,14.2,20,327
AUDI,UDV,4.2,8,M,Z,20.5,11.7,16.6,17,382
AUDI,UDV,5.2,10,AM,Z,18.2,10.6,14.8,19,347
AUDI,UDV,5.2,10,M,Z,19.9,12.0,16.4,17,377
AUDI,UDV,4.2,8,AM,Z,17.3,10.4,14.2,20,327
AUDI,UDV,4.2,8,M,Z,20.5,11.7,16.6,17,382
AUDI,UDV,5.2,10,AM,Z,18.2,10.6,14.8,19,347
AUDI,UDV,5.2,10,M,Z,19.9,12.0,16.4,17,377
AUDI,UDV,4.2,8,AM,Z,14.9,10.1,12.8,22,294
AUDI,UDV,4.2,8,AM,Z,14.8,10.6,12.9,22,297
AUDI,SDV,4.0,8,AS,Z,16.6,9.4,13.3,21,313
AUDI,UDV,2.0,4,AM,Z,10.1,7.7,9.0,31,207
AUDI,UDV,3.0,6,AM,Z,13.0,8.5,11.0,26,253
AUDI,UDV,3.0,6,M,Z,13.8,9.0,11.7,24,269
AUDI,UDV,3.0,6,AM,Z,13.0,8.5,11.0,26,253
AUDI,UDV,3.0,6,M,Z,13.8,9.0,11.7,24,269
AUDI,UDV,3.0,6,AM,Z,13.3,9.1,11.4,25,262
AUDI,SDV,4.0,8,AM,Z,14.0,8.7,11.7,24,269
AUDI,SDV,4.0,8,AM,Z,14.0,8.7,11.7,24,269
AUDI,SDV,4.0,8,AS,Z,14.6,8.8,11.9,24,281
AUDI,UDV,3.0,6,AS,Z,14.1,9.9,12.2,23,281
AUDI,UDV,2.0,4,AM,Z,10.4,7.6,9.1,31,209
AUDI,UDV,2.0,4,AM,Z,10.4,7.7,9.2,31,212
AUDI,UDV,2.0,4,AM,Z,11.7,8.4,10.2,28,235
AUDI,UDV,2.0,4,AM,Z,11.7,8.5,10.2,28,235
BENTLEY,UDV,4.0,8,AS,Z,16.1,9.4,13.1,22,307
BENTLEY,UDV,6.0,12,AS,Z,18.9,11.2,15.4,18,354
BENTLEY,UDV,4.0,8,AS,Z,17.7,10.3,14.4,20,337
BENTLEY,UDV,6.0,12,AS,Z,19.6,11.7,16.0,18,368
BENTLEY,UDV,4.0,8,AS,Z,17.6,10.1,14.2,20,327
BENTLEY,SDV,4.0,8,AS,Z,17.7,10.0,14.2,20,334
BENTLEY,SDV,6.0,12,AS,Z,20.3,11.9,16.5,17,388
BENTLEY,SDV,6.8,8,AS,Z,22.3,13.3,18.2,16,419
BMW,UDV,2.0,4,AS,Z,10.4,7.1,8.9,32,205
BMW,UDV,2.0,4,AS,Z,10.0,6.5,8.4,34,193
BMW,UDV,2.0,4,M,Z,10.7,6.9,9.0,31,207
BMW,UDV,2.0,4,AS,Z,10.6,7.2,9.1,31,209
BMW,UDV,2.0,4,AS,Z,10.3,6.7,8.7,32,200
BMW,UDV,2.0,4,AS,Z,10.0,6.5,8.4,34,193
BMW,UDV,2.0,4,M,Z,10.7,6.9,9.0,31,207
BMW,UDV,2.0,4,AS,Z,10.3,6.7,8.7,32,200
BMW,UDV,2.0,4,AS,D,7.6,5.5,6.7,42,181
BMW,SV,2.0,4,AS,D,7.6,5.5,6.7,42,181
BMW,UDV,2.0,4,AS,Z,10.0,6.5,8.4,34,193
BMW,UDV,2.0,4,M,Z,10.7,6.9,9.0,31,207
BMW,UDV,2.0,4,AS,Z,10.6,7.2,9.1,31,209
BMW,SDV,2.0,4,AS,Z,10.6,7.2,9.1,31,209
BMW,SV,2.0,4,AS,Z,10.6,7.2,9.1,31,209
BMW,UDV,3.0,6,AS,Z,11.4,7.4,9.6,29,221
BMW,UDV,3.0,6,M,Z,11.5,7.8,9.8,29,225
BMW,UDV,3.0,6,AS,Z,11.9,7.8,10.0,28,230
BMW,UDV,3.0,6,M,Z,12.0,8.3,10.3,27,237
BMW,SDV,3.0,6,AS,Z,11.9,7.8,10.0,28,230
BMW,UDV,2.0,4,AS,Z,10.4,7.1,8.9,32,205
BMW,UDV,2.0,4,AS,Z,10.0,6.5,8.4,34,193
BMW,UDV,2.0,4,M,Z,10.7,6.9,9.0,31,207
BMW,UDV,2.0,4,AS,Z,10.4,7.1,8.9,32,205
BMW,UDV,2.0,4,M,Z,10.9,6.8,9.0,31,207
BMW,UDV,2.0,4,AS,Z,11.2,7.5,9.6,29,221
BMW,UDV,2.0,4,AS,Z,10.6,7.2,9.1,31,209
BMW,UDV,2.0,4,AS,Z,10.6,7.2,9.1,31,209
BMW,UDV,3.0,6,AS,Z,11.8,7.6,9.9,29,228
BMW,UDV,3.0,6,AS,Z,11.4,7.4,9.6,29,221
BMW,UDV,3.0,6,M,Z,11.5,7.8,9.8,29,225
BMW,UDV,3.0,6,AS,Z,11.4,7.4,9.6,29,221
BMW,UDV,3.0,6,AS,Z,12.1,8.1,10.3,27,237
BMW,UDV,3.0,6,AS,Z,11.9,7.8,10.0,28,230
BMW,UDV,3.0,6,M,Z,12.0,8.3,10.3,27,237
BMW,UDV,3.0,6,AS,Z,11.9,7.8,10.0,28,230
BMW,SDV,2.0,4,AS,Z,10.4,7.1,8.9,32,205
BMW,SDV,2.0,4,AS,Z,10.6,7.2,9.1,31,209
BMW,SDV,3.0,6,AS,D,9.2,6.3,7.9,36,213
BMW,SDV,3.0,6,AS,Z,12.1,8.1,10.3,27,237
BMW,SDV,3.0,6,AS,Z,12.8,8.9,11.0,26,253
BMW,SDV,4.4,8,AS,Z,14.4,9.7,12.3,23,283
BMW,SDV,4.4,8,AS,Z,15.2,9.8,12.8,22,294
BMW,UDV,3.0,6,AS,Z,12.1,8.1,10.3,27,237
BMW,UDV,3.0,6,AS,Z,12.1,8.1,10.3,27,237
BMW,UDV,4.4,8,AS,Z,15.2,9.8,12.8,22,294
BMW,UDV,4.4,8,AS,Z,14.4,9.7,12.3,23,283
BMW,UDV,4.4,8,AS,Z,15.2,9.8,12.8,22,294
BMW,SDV,3.0,6,AS,D,10.2,7.1,8.8,32,238
BMW,SDV,3.0,6,AS,Z,12.1,8.1,10.3,27,237
BMW,SDV,4.4,8,AS,Z,15.2,9.8,12.8,22,294
BMW,SDV,4.4,8,AS,Z,15.2,9.8,12.8,22,294
BMW,SDV,6.0,12,AS,Z,18.7,11.6,15.5,18,356
BMW,UDV,3.0,6,AS,Z,9.7,7.5,8.7,32,200
BMW,SDV,3.0,6,AS,Z,10.6,7.9,9.4,30,216
BMW,SDV,3.0,6,AS,Z,10.6,7.7,9.3,30,214
BMW,UDV,4.4,8,AS,Z,15.2,9.8,12.8,22,294
BMW,SDV,4.4,8,AS,Z,15.2,9.8,12.8,22,294
BMW,SDV,4.4,8,AS,Z,15.2,9.8,12.8,22,294
BMW,UDV,3.0,6,AS,Z,11.8,8.1,10.2,28,235
BMW,UDV,3.0,6,M,Z,12.3,9.0,10.8,26,248
BMW,UDV,3.0,6,AS,Z,11.8,8.1,10.2,28,235
BMW,UDV,3.0,6,M,Z,11.9,8.5,10.4,27,239
BMW,UDV,3.0,6,AS,Z,11.9,7.8,10.0,28,230
BMW,UDV,3.0,6,AM,Z,14.2,9.6,12.1,23,278
BMW,UDV,3.0,6,M,Z,13.7,9.0,11.6,24,267
BMW,UDV,3.0,6,AM,Z,14.1,9.7,12.1,23,278
BMW,UDV,3.0,6,M,Z,14.1,9.0,11.8,24,271
BMW,UDV,3.0,6,AM,Z,14.1,9.7,12.1,23,278
BMW,UDV,3.0,6,M,Z,13.7,9.0,11.6,24,267
BMW,SDV,4.4,8,AM,Z,17.3,11.5,14.7,19,338
BMW,SDV,4.4,8,M,Z,16.1,10.8,13.7,21,315
BMW,UDV,4.4,8,AM,Z,17.3,11.5,14.7,19,338
BMW,UDV,4.4,8,M,Z,16.1,10.8,13.7,21,315
BMW,UDV,4.4,8,AM,Z,17.3,11.5,14.7,19,338
BMW,UDV,4.4,8,M,Z,16.1,10.8,13.7,21,315
BMW,UDV,4.4,8,AM,Z,17.3,11.5,14.7,19,338
BMW,UDV,4.4,8,M,Z,16.1,10.8,13.7,21,315
BMW,UDV,2.0,4,AS,Z,10.6,7.2,9.1,31,209
BMW,UDV,3.0,6,AS,Z,13.2,8.9,11.2,25,258
BMW,UDV,2.0,4,AS,D,8.6,6.9,7.9,36,213
BMW,UDV,2.0,4,AS,Z,11.1,8.4,9.9,29,228
BMW,UDV,3.0,6,AS,Z,12.7,8.8,10.9,26,251
BMW,UDV,2.0,4,AS,Z,11.7,8.4,10.2,28,235
BMW,UDV,3.0,6,AS,Z,12.7,8.8,10.9,26,251
BMW,SDV,4.4,8,AS,Z,16.6,12.1,14.6,19,336
BMW,SDV,3.0,6,AS,D,9.9,7.2,8.7,32,235
BMW,SDV,3.0,6,AS,Z,13.0,8.9,11.1,25,255
BMW,SDV,4.4,8,AS,Z,16.1,10.9,13.8,20,317
BMW,SDV,4.4,8,AS,Z,16.6,12.1,14.6,19,336
BMW,SDV,3.0,6,AS,Z,13.0,8.9,11.1,25,255
BMW,SDV,4.4,8,AS,Z,16.1,10.9,13.8,20,317
BMW,UDV,2.0,4,AS,Z,10.7,7.1,9.1,31,209
BMW,UDV,2.0,4,M,Z,10.7,6.9,9.0,31,207
BMW,UDV,3.0,6,AM,Z,13.7,10.0,12.1,23,278
BMW,UDV,3.0,6,M,Z,12.7,9.0,11.0,26,253
BMW,UDV,3.0,6,AM,Z,13.7,10.0,12.1,23,278
BUICK,SDV,3.6,6,A,X,14.2,9.9,12.3,23,283
BUICK,SDV,3.6,6,A,X,14.6,10.2,12.6,22,290
BUICK,UDV,1.4,4,AS,X,9.5,7.2,8.5,33,196
BUICK,UDV,1.4,4,AS,X,10.2,8.0,9.2,31,212
BUICK,SDV,3.6,6,AS,X,13.7,8.6,11.4,25,262
BUICK,SDV,3.6,6,AS,E,18.7,12.4,15.8,18,253
BUICK,SDV,3.6,6,AS,X,13.9,9.1,11.7,24,269
BUICK,SDV,3.6,6,AS,E,18.6,12.6,15.9,18,254
BUICK,SDV,2.4,4,AS,X,9.6,6.5,8.2,34,189
BUICK,SDV,2.0,4,AS,Z,11.4,7.9,9.8,29,225
BUICK,SDV,2.0,4,M,Z,11.6,7.6,9.8,29,225
BUICK,SDV,2.0,4,AS,Z,12.4,8.7,10.7,26,246
BUICK,SDV,2.4,4,AS,X,9.6,6.5,8.2,34,189
BUICK,UDV,2.0,4,AS,Z,11.4,7.9,9.8,29,225
BUICK,UDV,2.0,4,M,Z,11.6,7.6,9.8,29,225
BUICK,UDV,2.4,4,AS,X,11.1,7.4,9.4,30,216
CADILLAC,UDV,2.0,4,AS,Z,11.1,7.9,9.7,29,223
CADILLAC,UDV,2.0,4,M,Z,12.2,7.9,10.3,27,237
CADILLAC,UDV,2.5,4,AS,X,11.1,7.2,9.3,30,214
CADILLAC,UDV,3.6,6,AS,X,12.8,8.4,10.8,26,248
CADILLAC,UDV,2.0,4,AS,Z,11.5,8.5,10.2,28,235
CADILLAC,UDV,3.6,6,AS,X,12.8,8.9,11.0,26,253
CADILLAC,SDV,2.0,4,AS,Z,11.5,7.9,9.9,29,228
CADILLAC,SDV,3.6,6,AS,X,12.8,8.2,10.7,26,246
CADILLAC,SDV,2.0,4,AS,Z,12.3,8.5,10.6,27,244
CADILLAC,SDV,3.6,6,AS,X,12.8,8.9,11.0,26,253
CADILLAC,SDV,3.6,6,AS,Z,15.1,9.9,12.7,22,292
CADILLAC,SDV,6.2,8,A,Z,16.2,11.4,14.0,20,322
CADILLAC,SDV,6.2,8,A,Z,15.9,11.1,13.8,20,317
CADILLAC,SDV,6.2,8,A,Z,16.8,11.7,14.5,19,334
CADILLAC,SDV,6.2,8,A,Z,16.4,11.7,14.3,20,329
CADILLAC,SDV,3.6,6,AS,X,14.2,9.8,12.3,23,283
CADILLAC,SDV,3.6,6,AS,X,14.8,10.4,12.8,22,294
CADILLAC,SDV,3.6,6,AS,X,13.6,8.6,11.3,25,260
CADILLAC,SDV,3.6,6,AS,X,13.7,8.9,11.6,24,267
CADILLAC,SDV,3.6,6,AS,Z,14.8,9.9,12.6,22,290
CHEVROLET,UDV,3.6,6,AS,X,13.3,8.8,11.3,25,260
CHEVROLET,UDV,3.6,6,M,X,14.0,8.4,11.5,25,265
CHEVROLET,UDV,6.2,8,AS,Z,15.3,9.8,12.8,22,294
CHEVROLET,UDV,6.2,8,M,Z,15.0,9.9,12.7,22,292
CHEVROLET,UDV,3.6,6,AS,X,12.6,7.9,10.5,27,242
CHEVROLET,UDV,6.2,8,M,Z,18.1,12.3,15.5,18,357
CHEVROLET,UDV,6.2,8,AS,Z,19.9,13.0,16.8,17,386
CHEVROLET,UDV,6.2,8,M,Z,16.6,12.4,14.7,19,338
CHEVROLET,SV,2.0,4,AV,X,9.7,9.0,9.4,30,216
CHEVROLET,DT,2.5,4,A,X,11.9,8.8,10.5,27,242
CHEVROLET,DT,2.5,4,M,X,12.2,9.1,10.8,26,248
CHEVROLET,DT,3.6,6,A,X,13.0,9.2,11.3,25,260
CHEVROLET,DT,2.5,4,A,X,12.7,9.5,11.3,25,260
CHEVROLET,DT,3.6,6,A,X,13.5,9.8,11.8,24,271
CHEVROLET,UDV,6.2,8,AS,Z,14.6,8.1,11.7,24,269
CHEVROLET,UDV,6.2,8,M,Z,13.7,8.2,11.2,25,258
CHEVROLET,UDV,6.2,8,AS,Z,17.7,10.2,14.3,20,329
CHEVROLET,UDV,6.2,8,M,Z,15.7,10.6,13.4,21,308
CHEVROLET,SDV,1.4,4,AS,X,9.1,6.3,7.8,36,179
CHEVROLET,SDV,1.4,4,M,X,9.0,6.2,7.8,36,179
CHEVROLET,SDV,1.8,4,AS,X,10.5,6.8,8.8,32,202
CHEVROLET,SDV,1.8,4,M,X,9.4,6.6,8.1,35,186
CHEVROLET,SDV,2.0,4,AS,D,8.7,5.1,7.1,40,192
CHEVROLET,SDV,1.4,4,A,X,9.0,6.1,7.7,37,177
CHEVROLET,SDV,1.4,4,M,X,8.4,5.6,7.1,40,163
CHEVROLET,UDV,2.4,4,A,X,10.5,7.3,9.1,31,209
CHEVROLET,UDV,2.4,4,A,X,10.5,7.3,9.1,31,209
CHEVROLET,UDV,2.4,4,A,E,15.6,10.8,13.4,21,214
CHEVROLET,UDV,3.6,6,A,X,14.2,9.5,12.1,23,278
CHEVROLET,UDV,2.4,4,A,X,11.5,8.2,10.0,28,230
CHEVROLET,UDV,2.4,4,A,X,11.5,8.2,10.0,28,230
CHEVROLET,UDV,2.4,4,A,E,16.3,11.6,14.2,20,227
CHEVROLET,UDV,3.6,6,A,X,14.8,9.9,12.6,22,290
CHEVROLET,CDV,4.8,8,A,X,21.0,14.2,18.0,16,414
CHEVROLET,CDV,6.0,8,A,X,22.0,14.9,18.8,15,432
CHEVROLET,CDV,6.0,8,A,X,22.0,14.9,18.8,15,432
CHEVROLET,CDV,6.0,8,A,E,30.3,20.5,25.9,11,414
CHEVROLET,CDV,4.8,8,A,X,21.3,14.3,18.1,16,416
CHEVROLET,CDV,6.0,8,A,X,22.2,15.1,19.0,15,437
CHEVROLET,CDV,6.0,8,A,X,22.2,15.1,19.0,15,437
CHEVROLET,CDV,6.0,8,A,E,30.6,20.6,26.1,11,418
CHEVROLET,SDV,2.5,4,AS,X,10.6,7.5,9.2,31,212
CHEVROLET,SDV,3.6,6,AS,X,12.5,8.2,10.6,27,244
CHEVROLET,SDV,3.6,6,AS,E,17.0,11.5,14.5,19,232
CHEVROLET,SDV,2.0,4,AS,Z,11.4,7.9,9.8,29,225
CHEVROLET,SDV,2.5,4,AS,X,9.3,6.4,8.0,35,184
CHEVROLET,DT,4.3,6,A,X,13.4,9.9,11.9,24,274
CHEVROLET,DT,4.3,6,A,E,19.3,14.3,17.1,17,274
CHEVROLET,DT,5.3,8,A,X,14.6,10.3,12.7,22,292
CHEVROLET,DT,5.3,8,A,E,19.9,13.8,17.2,16,275
CHEVROLET,DT,6.2,8,A,Z,16.1,11.4,14.0,20,322
CHEVROLET,DT,4.3,6,A,X,14.1,10.6,12.5,23,288
CHEVROLET,DT,4.3,6,A,E,20.3,15.2,18.0,16,288
CHEVROLET,DT,5.3,8,A,X,14.9,10.7,13.0,22,299
CHEVROLET,DT,5.3,8,A,E,20.2,14.3,17.5,16,280
CHEVROLET,DT,6.2,8,A,Z,16.3,11.6,14.2,20,327
CHEVROLET,UDV,1.4,4,AS,X,9.0,6.8,8.0,35,184
CHEVROLET,UDV,1.4,4,M,X,8.5,6.2,7.5,38,173
CHEVROLET,UDV,1.8,4,AS,X,9.6,6.7,8.3,34,191
CHEVROLET,UDV,1.8,4,M,X,9.0,6.8,8.0,35,184
CHEVROLET,UDV,1.4,4,AS,X,9.4,7.0,8.3,34,191
CHEVROLET,UDV,1.4,4,M,X,8.9,6.9,8.0,35,184
CHEVROLET,SDV,1.4,4,AS,X,9.0,6.8,8.0,35,184
CHEVROLET,SDV,1.4,4,M,X,8.5,6.2,7.5,38,173
CHEVROLET,SDV,1.8,4,AS,X,9.6,6.7,8.3,34,191
CHEVROLET,SDV,1.8,4,M,X,9.0,6.8,8.0,35,184
CHEVROLET,SDV,1.4,4,AS,X,9.4,7.0,8.3,34,191
CHEVROLET,SDV,1.4,4,M,X,8.9,6.9,8.0,35,184
CHEVROLET,UDV,1.2,4,AV,X,7.7,6.1,7.0,40,161
CHEVROLET,UDV,1.2,4,M,X,7.5,6.0,6.8,42,156
CHEVROLET,SDV,5.3,8,A,X,14.9,10.1,12.7,22,292
CHEVROLET,SDV,5.3,8,A,E,20.2,13.6,17.2,16,275
CHEVROLET,SDV,5.3,8,A,X,15.4,10.8,13.3,21,306
CHEVROLET,SDV,5.3,8,A,E,22.1,15.4,19.1,15,306
CHEVROLET,SDV,5.3,8,A,X,14.9,10.1,12.7,22,292
CHEVROLET,SDV,5.3,8,A,E,20.2,13.6,17.2,16,275
CHEVROLET,SDV,5.3,8,A,X,15.1,10.4,13.0,22,299
CHEVROLET,SDV,5.3,8,A,E,20.5,14.0,17.6,16,282
CHEVROLET,SDV,3.6,6,A,X,14.2,9.9,12.3,23,283
CHEVROLET,SDV,3.6,6,A,X,14.6,10.2,12.6,22,290
CHEVROLET,UDV,1.4,4,AS,X,9.2,7.0,8.2,34,189
CHEVROLET,UDV,1.4,4,M,X,9.1,6.9,8.1,35,186
CHEVROLET,UDV,1.4,4,AS,X,9.7,7.6,8.7,32,200
CHRYSLER,SDV,2.4,4,A,X,10.2,6.4,8.5,33,196
CHRYSLER,SDV,2.4,4,A,X,10.2,6.4,8.5,33,196
CHRYSLER,SDV,2.4,4,A,E,13.6,8.5,11.3,25,181
CHRYSLER,SDV,3.6,6,A,X,12.4,7.5,10.2,28,235
CHRYSLER,SDV,3.6,6,A,X,12.4,7.5,10.2,28,235
CHRYSLER,SDV,3.6,6,A,E,16.5,10.1,13.6,21,218
CHRYSLER,SDV,3.6,6,A,X,12.8,8.1,10.7,26,246
CHRYSLER,SDV,3.6,6,A,X,12.8,8.1,10.7,26,246
CHRYSLER,SDV,3.6,6,A,E,16.9,10.8,14.1,20,226
CHRYSLER,SDV,3.6,6,A,X,12.4,7.7,10.3,27,237
CHRYSLER,SDV,3.6,6,A,X,12.4,7.7,10.3,27,237
CHRYSLER,SDV,3.6,6,A,E,16.8,10.3,13.9,20,222
CHRYSLER,SDV,5.7,8,A,X,14.8,9.3,12.3,23,283
CHRYSLER,SDV,3.6,6,A,X,12.8,8.6,10.9,26,251
CHRYSLER,SDV,3.6,6,A,X,12.8,8.6,10.9,26,251
CHRYSLER,SDV,3.6,6,A,E,17.3,11.7,14.8,19,237
CHRYSLER,CDV,3.6,6,A,X,14.1,9.5,12.0,24,276
CHRYSLER,CDV,3.6,6,A,E,19.7,13.3,16.8,17,269
DODGE,SDV,3.6,6,A,X,12.4,7.8,10.3,27,237
DODGE,SDV,5.7,8,M,X,15.6,10.0,13.1,22,301
DODGE,SDV,6.4,8,M,Z,16.8,10.4,13.9,20,320
DODGE,SDV,5.7,8,A,X,14.8,9.3,12.3,23,283
DODGE,SDV,6.4,8,A,Z,15.7,9.5,12.9,22,297
DODGE,SDV,6.4,8,M,Z,16.8,10.4,13.9,20,320
DODGE,SDV,6.4,8,A,Z,15.7,9.5,12.9,22,297
DODGE,SDV,6.2,8,A,Z,18.0,10.7,14.7,19,338
DODGE,SDV,6.2,8,M,Z,18.1,11.4,15.1,19,347
DODGE,SDV,3.6,6,A,X,13.7,8.9,11.5,25,264
DODGE,SDV,3.6,6,A,X,13.7,8.9,11.5,25,264
DODGE,SDV,3.6,6,A,E,18.7,12.4,15.9,18,254
DODGE,SDV,3.6,6,A,X,12.4,7.7,10.3,27,237
DODGE,SDV,3.6,6,A,X,12.4,7.7,10.3,27,237
DODGE,SDV,3.6,6,A,E,16.8,10.3,13.9,20,222
DODGE,SDV,5.7,8,A,X,15.7,9.6,12.9,22,297
DODGE,SDV,5.7,8,A,X,14.8,9.3,12.3,23,283
DODGE,SDV,3.6,6,A,X,12.8,8.6,10.9,26,251
DODGE,SDV,3.6,6,A,X,12.8,8.6,10.9,26,251
DODGE,SDV,3.6,6,A,E,17.3,11.7,14.8,19,237
DODGE,SDV,5.7,8,A,X,16.1,10.0,13.4,21,308
DODGE,SDV,6.4,8,A,Z,15.7,9.5,12.9,22,297
DODGE,SDV,6.2,8,A,Z,18.0,10.7,14.7,19,338
DODGE,SDV,2.0,4,M,X,9.4,6.5,8.1,35,186
DODGE,SDV,2.0,4,A,X,9.9,7.0,8.6,33,198
DODGE,SDV,2.0,4,A,E,13.3,9.3,11.5,25,184
DODGE,SDV,2.4,4,A,X,10.1,6.8,8.6,33,198
DODGE,SDV,2.4,4,M,X,10.5,6.7,8.8,32,202
DODGE,SDV,2.4,4,A,X,10.6,7.5,9.2,31,212
DODGE,SDV,2.4,4,M,X,10.2,7.0,8.8,32,202
DODGE,SDV,1.4,4,AM,X,8.4,5.9,7.3,39,168
DODGE,SDV,1.4,4,M,X,8.5,5.8,7.3,39,168
DODGE,SDV,3.6,6,A,X,13.9,9.8,12.1,23,278
DODGE,SDV,3.6,6,A,E,17.7,13.0,15.6,18,250
DODGE,SDV,5.7,8,A,X,17.3,11.5,14.7,19,338
DODGE,CDV,3.6,6,A,X,13.7,9.4,11.8,24,271
DODGE,CDV,3.6,6,A,E,19.2,13.1,16.4,17,262
DODGE,UDV,2.4,4,A,X,12.7,9.1,11.1,25,255
DODGE,UDV,3.6,6,A,X,14.2,9.4,12.1,23,278
DODGE,UDV,3.6,6,A,E,18.9,12.9,16.2,17,259
DODGE,UDV,3.6,6,A,X,14.5,9.9,12.4,23,285
DODGE,UDV,8.4,10,M,Z,19.4,11.3,15.8,18,363
FIAT,UDV,1.4,4,A,X,8.7,6.9,7.9,36,182
FIAT,UDV,1.4,4,M,X,7.9,6.3,7.2,39,166
FIAT,UDV,1.4,4,A,X,8.7,6.9,7.9,36,182
FIAT,UDV,1.4,4,M,X,7.6,5.9,6.8,42,156
FIAT,UDV,1.4,4,A,X,9.6,7.3,8.6,33,198
FIAT,UDV,1.4,4,M,X,8.5,6.9,7.8,36,179
FIAT,UDV,1.4,4,A,X,9.6,7.3,8.6,33,198
FIAT,UDV,1.4,4,M,X,8.5,6.9,7.8,36,179
FIAT,UDV,1.4,4,A,X,9.6,7.3,8.6,33,198
FIAT,UDV,1.4,4,M,X,8.5,6.9,7.8,36,179
FIAT,SV,1.4,4,A,X,10.6,7.8,9.4,30,216
FIAT,SV,1.4,4,AM,X,9.9,7.2,8.7,32,200
FIAT,SV,1.4,4,M,X,9.3,7.1,8.3,34,191
FORD,SDV,2.0,4,AV,X,5.6,6.4,6.0,47,138
FORD,UDV,2.0,4,AS,X,11.5,7.8,9.8,29,225
FORD,UDV,2.0,4,AS,X,11.3,7.9,9.8,29,225
FORD,UDV,3.5,6,AS,X,13.2,9.0,11.3,25,260
FORD,UDV,2.0,4,AS,X,11.8,8.4,10.3,27,237
FORD,UDV,3.5,6,AS,X,13.7,9.6,11.8,24,271
FORD,UDV,2.7,6,AS,X,13.6,9.8,11.9,24,274
FORD,UDV,1.6,4,AS,X,10.4,7.4,9.0,31,207
FORD,UDV,2.0,4,AS,X,10.9,8.0,9.6,29,221
FORD,UDV,2.5,4,AS,X,10.9,7.6,9.5,30,218
FORD,UDV,1.6,4,AS,X,10.6,8.0,9.4,30,216
FORD,UDV,2.0,4,AS,X,11.4,8.4,10.1,28,232
FORD,SDV,3.5,6,AS,X,16.2,11.8,14.2,20,327
FORD,SDV,3.5,6,AS,X,16.4,12.0,14.4,20,331
FORD,SDV,2.0,4,A,X,11.9,8.5,10.4,27,239
FORD,SDV,3.5,6,AS,X,13.7,9.7,11.9,24,274
FORD,SDV,3.5,6,AS,E,18.6,13.0,16.1,18,258
FORD,SDV,3.5,6,AS,X,14.9,10.7,13.0,22,299
FORD,SDV,3.5,6,AS,X,14.2,10.3,12.5,23,288
FORD,SDV,3.5,6,AS,E,19.2,14.1,16.9,17,270
